WAP001,WAP002,WAP003,WAP004,WAP005,WAP006,WAP007,WAP008,WAP009,WAP010
-79,-82,-82,-62,-75,-67,-63,-82,-88,-55
-81,-88,-88,-61,-77,-63,-62,-84,-89,-51
-80,-90,-90,-63,-75,-64,-60,-87,-91,-50
-80,-85,-84,-68,-75,-69,-65,-84,-81,-55
-83,-83,-79,-65,-75,-69,-62,-84,-86,-56
-85,-87,-78,-70,-78,-70,-65,-87,-81,-56
-80,-91,-89,-62,-77,-63,-62,-85,-88,-51
-84,-93,-80,-69,-76,-68,-61,-89,-83,-53
-84,-81,-78,-65,-77,-65,-60,-82,-81,-58
-77,-95,-87,-65,-79,-60,-70,-83,-78,-52
-87,-91,-87,-64,-81,-64,-62,-85,-82,-48
-80,-93,-86,-69,-76,-66,-68,-87,-79,-52
-82,-85,-84,-66,-75,-67,-61,-86,-86,-54
-85,-92,-86,-60,-84,-57,-63,-80,-77,-51
-78,-89,-87,-63,-76,-63,-62,-83,-86,-53
-83,-89,-89,-60,-79,-63,-61,-85,-89,-49
-83,-93,-92,-60,-80,-58,-60,-86,-88,-47
-90,-90,-80,-65,-81,-70,-65,-91,-88,-51
-84,-87,-81,-68,-75,-67,-59,-89,-86,-53
-84,-84,-80,-66,-76,-69,-62,-85,-84,-55
-84,-85,-81,-62,-79,-66,-63,-84,-86,-55
-81,-88,-80,-67,-76,-69,-67,-85,-83,-56
-83,-88,-85,-63,-79,-65,-65,-84,-82,-51
-81,-83,-80,-68,-76,-67,-63,-82,-81,-57
-82,-90,-82,-68,-74,-69,-63,-89,-87,-54
-79,-90,-90,-62,-77,-62,-63,-84,-88,-51
-82,-89,-82,-69,-76,-68,-65,-87,-81,-53
-80,-93,-83,-68,-76,-67,-66,-86,-82,-53
-82,-90,-81,-70,-74,-70,-64,-89,-84,-54
-82,-87,-79,-65,-78,-65,-62,-83,-81,-55
-81,-84,-79,-62,-77,-65,-60,-80,-84,-55
-85,-90,-78,-69,-76,-69,-60,-90,-85,-53
-79,-89,-89,-64,-77,-64,-65,-84,-85,-51
-83,-87,-86,-62,-79,-60,-58,-83,-84,-52
-83,-80,-78,-65,-76,-69,-62,-84,-86,-59
-83,-89,-84,-65,-78,-66,-65,-84,-82,-53
-85,-84,-86,-59,-82,-58,-61,-80,-82,-54
-83,-86,-78,-66,-76,-67,-61,-84,-82,-56
-85,-88,-80,-68,-77,-72,-65,-88,-85,-54
-84,-87,-87,-58,-81,-60,-61,-83,-87,-51
-80,-85,-84,-66,-77,-65,-67,-83,-80,-55
-85,-80,-83,-59,-78,-63,-56,-82,-88,-54
-81,-80,-82,-64,-77,-63,-62,-81,-82,-58
-84,-88,-80,-66,-79,-65,-64,-85,-81,-55
-83,-93,-80,-69,-76,-71,-64,-90,-87,-53
-87,-83,-84,-62,-79,-65,-58,-84,-85,-52
-84,-82,-84,-59,-79,-62,-59,-82,-86,-54
-82,-83,-83,-60,-79,-62,-63,-81,-84,-55
-78,-90,-81,-69,-74,-69,-65,-85,-83,-55
-87,-94,-88,-62,-84,-59,-64,-84,-78,-48
-81,-89,-87,-66,-74,-66,-62,-87,-86,-52
-83,-86,-87,-62,-77,-65,-63,-85,-87,-52
-83,-88,-87,-61,-80,-60,-62,-83,-83,-53
-81,-89,-83,-68,-74,-69,-64,-86,-83,-54
-83,-88,-84,-65,-76,-70,-63,-85,-84,-52
-84,-88,-84,-62,-78,-64,-61,-83,-84,-54
-79,-92,-87,-67,-75,-65,-64,-86,-83,-51
-84,-87,-78,-68,-78,-69,-65,-87,-83,-55
-78,-91,-84,-71,-73,-67,-65,-86,-79,-53
-85,-82,-77,-62,-76,-72,-59,-86,-92,-53
-85,-98,-95,-60,-82,-57,-63,-89,-87,-45
-88,-86,-80,-62,-79,-66,-57,-87,-89,-53
-80,-83,-78,-68,-74,-71,-64,-83,-83,-57
-91,-89,-89,-60,-81,-65,-56,-89,-90,-44
-84,-88,-77,-70,-76,-70,-63,-88,-84,-56
-82,-88,-83,-67,-77,-67,-66,-86,-81,-53
-83,-87,-78,-67,-77,-64,-59,-83,-79,-55
-88,-89,-81,-61,-82,-64,-62,-86,-86,-51
-80,-89,-82,-70,-73,-71,-65,-87,-82,-54
-85,-82,-82,-61,-81,-61,-61,-79,-79,-57
-83,-91,-81,-70,-74,-71,-63,-90,-85,-53
-77,-100,-91,-68,-74,-65,-67,-88,-83,-47
-81,-84,-82,-67,-76,-66,-65,-83,-80,-56
-80,-86,-88,-62,-76,-63,-61,-84,-88,-52
-82,-81,-82,-60,-77,-64,-59,-82,-88,-54
-89,-86,-75,-66,-78,-71,-59,-89,-88,-55
-76,-94,-87,-68,-75,-64,-67,-85,-80,-52
-87,-91,-88,-59,-84,-59,-63,-84,-83,-49
-80,-85,-77,-70,-74,-70,-65,-84,-80,-59
-91,-87,-79,-62,-82,-65,-57,-85,-85,-52
-86,-91,-87,-61,-80,-63,-62,-85,-84,-49
-80,-100,-91,-66,-81,-60,-70,-87,-79,-47
-82,-92,-90,-62,-79,-61,-61,-87,-89,-48
-80,-90,-80,-70,-74,-69,-64,-87,-82,-55
-85,-86,-82,-62,-76,-69,-59,-86,-89,-50
-80,-88,-85,-65,-76,-66,-67,-83,-82,-54
-83,-96,-90,-62,-82,-60,-66,-85,-80,-47
-82,-85,-79,-67,-75,-70,-63,-86,-84,-54
-85,-88,-83,-61,-80,-64,-61,-83,-83,-51
-78,-94,-87,-69,-75,-65,-66,-86,-80,-50
-83,-82,-81,-61,-79,-64,-60,-81,-85,-56
-80,-93,-88,-68,-76,-65,-66,-86,-81,-51
-79,-94,-84,-69,-74,-68,-65,-88,-84,-51
-81,-92,-86,-68,-77,-67,-69,-87,-81,-52
-83,-85,-78,-63,-79,-66,-62,-82,-84,-56
-84,-85,-75,-69,-75,-73,-65,-87,-84,-59
-83,-84,-77,-68,-77,-70,-65,-83,-80,-58
-80,-82,-81,-64,-76,-68,-65,-83,-86,-57
-81,-85,-80,-64,-77,-64,-62,-81,-79,-56
-79,-85,-84,-64,-76,-66,-66,-83,-84,-55
-82,-87,-78,-67,-77,-68,-63,-83,-82,-58
-78,-94,-88,-67,-75,-63,-63,-86,-83,-50
-81,-81,-80,-64,-75,-66,-60,-82,-83,-57
-77,-86,-80,-67,-76,-66,-68,-81,-79,-58
-82,-92,-82,-70,-74,-71,-65,-89,-85,-53
-79,-92,-88,-63,-79,-62,-68,-82,-80,-51
-77,-91,-86,-66,-74,-68,-67,-85,-84,-54
-80,-84,-83,-65,-76,-64,-63,-82,-81,-56
-85,-84,-86,-61,-78,-64,-59,-84,-89,-52
-77,-90,-84,-69,-74,-65,-66,-84,-78,-55
-92,-86,-75,-61,-81,-70,-56,-89,-93,-52
-86,-87,-78,-66,-77,-71,-62,-88,-87,-54
-81,-91,-86,-67,-76,-66,-64,-85,-81,-52
-81,-84,-82,-63,-77,-64,-63,-81,-82,-55
-86,-82,-82,-60,-80,-62,-58,-80,-83,-56
-80,-94,-85,-68,-75,-70,-66,-89,-86,-51
-81,-83,-77,-66,-74,-72,-63,-85,-88,-56
-89,-88,-81,-64,-81,-66,-62,-86,-83,-52
-86,-82,-84,-63,-78,-66,-59,-83,-84,-53
-84,-87,-84,-64,-76,-70,-62,-87,-87,-50
-84,-92,-87,-66,-79,-66,-66,-86,-81,-50
-80,-84,-82,-68,-74,-66,-62,-83,-80,-56
-81,-85,-83,-65,-77,-63,-62,-83,-81,-55
-78,-87,-85,-64,-79,-62,-69,-80,-78,-56
-78,-91,-85,-68,-74,-64,-63,-85,-81,-52
-81,-80,-81,-63,-75,-69,-61,-84,-90,-56
-81,-99,-88,-66,-81,-61,-68,-88,-81,-48
-84,-86,-85,-66,-80,-64,-65,-83,-78,-53
-78,-92,-88,-63,-81,-58,-71,-80,-76,-54
-83,-81,-82,-61,-77,-63,-58,-81,-85,-56
-85,-86,-79,-67,-79,-66,-61,-84,-79,-56
-81,-89,-83,-67,-79,-66,-67,-85,-82,-54
-82,-90,-84,-68,-75,-70,-65,-89,-84,-51
-81,-84,-81,-63,-78,-65,-64,-82,-83,-55
-79,-87,-83,-67,-75,-66,-64,-83,-81,-55
-80,-93,-89,-66,-75,-65,-64,-88,-85,-50
-81,-86,-82,-66,-77,-68,-63,-82,-81,-55
-79,-89,-84,-62,-79,-61,-66,-80,-80,-54
-82,-90,-81,-67,-77,-66,-64,-86,-83,-53
-79,-98,-93,-63,-79,-59,-67,-86,-84,-47
-80,-85,-82,-68,-75,-67,-65,-84,-80,-56
-89,-89,-86,-58,-83,-61,-59,-85,-86,-48
-81,-81,-81,-63,-75,-69,-63,-82,-87,-57
-87,-83,-77,-65,-79,-69,-60,-84,-84,-56
-91,-94,-91,-61,-84,-60,-60,-88,-84,-44
-78,-87,-84,-65,-74,-68,-65,-83,-84,-55
-82,-96,-85,-70,-73,-71,-65,-92,-86,-50
-83,-94,-90,-58,-83,-57,-64,-83,-84,-48
-84,-88,-85,-59,-81,-61,-62,-83,-83,-51
-87,-82,-77,-63,-81,-65,-59,-82,-82,-58
-81,-89,-86,-65,-76,-64,-59,-87,-89,-51
-82,-87,-81,-67,-75,-71,-64,-86,-84,-54
-80,-91,-85,-68,-75,-69,-68,-86,-83,-52
-81,-95,-84,-70,-78,-63,-64,-88,-79,-51
-85,-88,-79,-66,-79,-68,-63,-85,-82,-56
-81,-83,-79,-65,-76,-67,-62,-81,-81,-57
-86,-85,-76,-70,-77,-73,-65,-88,-84,-58
-82,-83,-85,-62,-77,-62,-63,-83,-84,-55
-88,-83,-89,-55,-80,-60,-53,-85,-95,-49
-80,-87,-84,-65,-77,-66,-66,-83,-83,-54
-86,-95,-82,-71,-75,-72,-63,-94,-87,-50
-75,-92,-85,-69,-74,-64,-66,-83,-78,-54
-81,-84,-83,-64,-78,-64,-65,-81,-80,-56
-89,-83,-84,-58,-81,-63,-54,-84,-89,-51
-79,-85,-80,-66,-76,-67,-66,-83,-81,-57
-82,-89,-84,-65,-77,-65,-62,-86,-87,-53
-82,-83,-82,-64,-77,-66,-65,-83,-83,-55
-85,-89,-81,-64,-79,-67,-66,-87,-87,-52
-79,-90,-80,-70,-74,-69,-64,-86,-82,-55
-85,-79,-80,-61,-78,-65,-58,-81,-84,-57
-80,-89,-81,-69,-75,-67,-65,-86,-80,-55
-82,-85,-82,-65,-79,-65,-67,-83,-80,-56
-86,-87,-83,-63,-79,-66,-60,-83,-82,-52
-84,-83,-82,-61,-77,-65,-59,-82,-86,-54
-79,-91,-87,-66,-76,-64,-66,-85,-83,-52
-82,-90,-83,-68,-75,-70,-64,-88,-86,-53
-77,-91,-83,-69,-73,-67,-67,-86,-80,-55
-77,-89,-84,-67,-76,-63,-65,-82,-79,-55
-88,-84,-78,-62,-81,-65,-58,-82,-82,-55
-86,-85,-79,-65,-80,-64,-60,-81,-79,-56
-80,-81,-78,-66,-74,-69,-62,-83,-84,-57
-79,-85,-83,-67,-73,-68,-64,-84,-83,-56
-88,-82,-76,-61,-80,-67,-57,-83,-87,-55
-83,-98,-90,-67,-78,-66,-68,-90,-84,-47
-83,-85,-80,-67,-78,-67,-63,-83,-79,-55
-80,-97,-86,-68,-78,-63,-65,-88,-81,-50
-85,-85,-77,-62,-81,-63,-59,-81,-81,-56
-82,-86,-80,-65,-79,-65,-66,-83,-80,-56
-79,-92,-86,-66,-80,-60,-69,-82,-75,-53
-78,-91,-85,-67,-76,-63,-66,-83,-79,-53
-79,-90,-86,-64,-77,-65,-68,-85,-82,-52
-77,-85,-80,-66,-76,-66,-67,-80,-80,-58
-81,-92,-83,-69,-74,-71,-65,-89,-86,-52
-78,-91,-83,-67,-77,-63,-65,-83,-79,-54
-83,-81,-85,-60,-78,-62,-60,-81,-86,-56
-83,-90,-87,-61,-82,-59,-66,-82,-81,-52
-81,-84,-81,-66,-75,-67,-62,-86,-85,-55
-84,-86,-78,-68,-76,-70,-64,-87,-84,-55
-81,-88,-87,-64,-78,-64,-66,-85,-84,-51
-86,-81,-83,-60,-77,-66,-57,-84,-90,-52
-83,-93,-82,-69,-77,-67,-65,-89,-83,-53
-85,-93,-80,-69,-79,-68,-64,-90,-84,-53
-82,-85,-80,-63,-79,-63,-62,-81,-79,-56
-84,-82,-78,-63,-77,-69,-60,-83,-86,-54
-87,-83,-88,-56,-79,-61,-54,-85,-94,-50
-78,-90,-86,-65,-73,-66,-62,-86,-88,-51
-84,-85,-79,-64,-79,-66,-61,-81,-81,-56
-86,-89,-91,-60,-80,-61,-61,-86,-88,-49
-81,-91,-86,-64,-76,-65,-64,-84,-84,-53
-85,-92,-81,-68,-74,-73,-62,-93,-90,-50
-81,-83,-85,-63,-75,-65,-59,-85,-89,-53
-86,-88,-80,-67,-78,-69,-63,-87,-83,-54
-81,-84,-81,-65,-76,-68,-66,-83,-84,-57
-84,-85,-76,-65,-78,-67,-62,-82,-81,-58
-87,-85,-89,-59,-81,-59,-58,-84,-87,-51
-87,-86,-89,-57,-80,-61,-56,-86,-93,-50
-79,-90,-84,-66,-78,-61,-66,-82,-76,-54
-81,-90,-83,-66,-78,-64,-67,-85,-81,-53
-80,-85,-84,-62,-75,-67,-62,-84,-88,-54
-85,-82,-81,-64,-77,-68,-61,-84,-86,-55
-89,-86,-85,-56,-82,-61,-56,-85,-92,-49
-82,-88,-82,-65,-78,-65,-65,-85,-82,-53
-84,-96,-89,-63,-82,-62,-68,-86,-82,-47
-78,-84,-78,-69,-73,-69,-63,-84,-81,-57
-82,-87,-83,-66,-75,-67,-62,-86,-87,-54
-77,-92,-84,-70,-73,-67,-66,-86,-80,-53
-79,-87,-82,-64,-76,-65,-66,-84,-83,-53
-85,-88,-80,-67,-79,-66,-62,-84,-79,-54
-84,-86,-88,-61,-76,-64,-58,-86,-91,-51
-87,-85,-86,-61,-79,-63,-58,-84,-86,-53
-80,-90,-90,-61,-79,-61,-65,-84,-86,-51
-86,-98,-92,-56,-87,-53,-63,-84,-83,-45
-87,-80,-80,-57,-77,-67,-55,-86,-95,-52
-85,-90,-88,-60,-83,-59,-64,-83,-81,-50
-89,-85,-83,-60,-80,-65,-55,-85,-88,-48
-85,-84,-80,-61,-79,-66,-59,-83,-87,-54
-87,-88,-85,-64,-80,-66,-61,-85,-83,-49
-84,-83,-78,-65,-76,-71,-62,-86,-87,-55
-92,-93,-82,-69,-78,-74,-61,-97,-91,-48
-86,-82,-76,-62,-78,-70,-59,-84,-88,-56
-82,-85,-86,-64,-75,-64,-60,-87,-87,-52
-86,-93,-80,-71,-75,-72,-63,-93,-86,-53
-83,-86,-83,-64,-77,-68,-66,-86,-85,-52
-83,-88,-78,-68,-76,-69,-63,-87,-85,-55
-85,-87,-86,-59,-82,-59,-60,-82,-84,-52
-89,-94,-87,-63,-83,-65,-66,-90,-86,-46
-84,-83,-77,-64,-78,-68,-63,-83,-84,-56
-82,-95,-83,-69,-78,-64,-64,-89,-81,-51
-88,-93,-94,-56,-80,-60,-55,-89,-96,-45
-81,-89,-86,-67,-79,-65,-69,-83,-79,-54
-79,-86,-81,-68,-77,-65,-67,-82,-77,-57
-88,-82,-83,-58,-79,-64,-54,-85,-91,-50
-81,-87,-83,-65,-76,-68,-65,-84,-83,-53
-82,-88,-81,-69,-75,-71,-66,-86,-83,-55
-87,-81,-83,-60,-79,-62,-55,-84,-88,-54
-82,-89,-85,-68,-74,-71,-66,-89,-87,-53
-77,-96,-88,-66,-79,-61,-69,-84,-79,-51
-81,-99,-95,-63,-79,-59,-63,-89,-87,-44
-87,-88,-85,-61,-80,-62,-56,-84,-85,-51
-78,-88,-85,-66,-77,-65,-69,-82,-78,-54
-84,-83,-81,-61,-78,-63,-58,-82,-84,-54
-83,-95,-90,-63,-82,-60,-68,-85,-82,-49
-80,-85,-86,-64,-76,-63,-63,-84,-84,-54
-84,-89,-82,-69,-77,-69,-66,-87,-81,-54
-81,-82,-79,-66,-73,-69,-61,-85,-85,-57
-82,-86,-86,-63,-79,-63,-66,-82,-81,-53
-84,-80,-78,-62,-77,-68,-59,-82,-86,-56
-82,-83,-81,-62,-77,-64,-61,-81,-84,-55
-85,-86,-86,-59,-80,-63,-61,-84,-87,-50
-81,-98,-93,-62,-82,-55,-66,-85,-81,-47
-84,-91,-91,-62,-81,-61,-64,-86,-84,-48
-81,-82,-78,-67,-75,-69,-64,-84,-83,-59
-89,-84,-80,-59,-81,-64,-55,-84,-87,-52
-85,-86,-81,-62,-79,-67,-62,-85,-86,-52
-81,-93,-88,-66,-75,-63,-61,-88,-84,-50
-90,-89,-83,-62,-82,-66,-59,-87,-86,-49
-82,-94,-83,-66,-79,-65,-66,-88,-83,-51
-86,-93,-83,-68,-77,-70,-63,-91,-85,-51
-84,-85,-81,-62,-80,-64,-64,-83,-84,-55
-84,-90,-89,-64,-78,-65,-64,-86,-86,-51
-84,-84,-78,-69,-77,-72,-65,-86,-84,-57
-82,-91,-87,-64,-76,-66,-63,-85,-87,-51
-81,-83,-78,-64,-74,-69,-61,-83,-85,-56
-81,-80,-78,-62,-77,-65,-60,-79,-83,-58
-89,-90,-82,-58,-85,-59,-58,-81,-81,-50
-80,-94,-91,-67,-78,-65,-70,-86,-79,-49
-85,-87,-76,-68,-78,-69,-62,-85,-83,-57
-81,-77,-78,-62,-75,-67,-61,-81,-86,-58
-82,-84,-81,-65,-75,-70,-63,-85,-87,-55
-83,-85,-78,-67,-75,-71,-61,-88,-87,-53
-88,-80,-83,-58,-80,-61,-54,-82,-87,-54
-84,-87,-81,-65,-76,-71,-63,-87,-88,-53
-80,-82,-78,-67,-76,-66,-62,-80,-77,-58
-80,-87,-82,-64,-79,-62,-66,-81,-78,-55
-81,-89,-81,-65,-79,-64,-66,-83,-79,-55
-83,-88,-86,-62,-77,-64,-61,-83,-87,-53
-86,-86,-81,-66,-76,-72,-63,-88,-87,-52
-83,-88,-84,-61,-80,-60,-61,-81,-81,-53
-84,-79,-82,-60,-78,-63,-59,-81,-86,-56
-82,-86,-83,-64,-78,-66,-66,-84,-82,-53
-90,-90,-83,-64,-83,-64,-62,-85,-80,-51
-82,-86,-85,-64,-77,-65,-63,-83,-83,-54
-89,-84,-84,-56,-79,-64,-53,-86,-94,-48
-78,-85,-84,-64,-76,-64,-63,-80,-83,-56
-85,-85,-77,-66,-76,-70,-62,-88,-88,-54
-82,-87,-85,-66,-76,-67,-64,-85,-82,-54
-87,-85,-84,-62,-80,-64,-58,-83,-83,-51
-84,-83,-79,-63,-78,-65,-59,-82,-83,-55
-83,-87,-85,-64,-77,-61,-58,-85,-83,-52
-81,-81,-86,-61,-77,-64,-62,-83,-89,-55
-88,-82,-83,-57,-79,-64,-55,-84,-91,-51
-79,-91,-85,-67,-73,-67,-63,-86,-85,-53
-87,-87,-83,-65,-78,-70,-61,-88,-86,-50
-84,-84,-81,-62,-79,-61,-57,-80,-82,-56
-79,-86,-82,-66,-75,-67,-65,-82,-81,-55
-83,-86,-78,-68,-76,-69,-63,-85,-82,-58
-81,-90,-86,-66,-74,-64,-60,-87,-85,-51
-80,-92,-82,-71,-75,-66,-64,-88,-79,-53
-82,-80,-78,-64,-76,-68,-62,-82,-86,-58
-81,-89,-84,-64,-80,-62,-65,-80,-78,-54
-88,-86,-85,-60,-80,-64,-57,-85,-87,-50
-85,-81,-82,-62,-79,-63,-59,-81,-85,-57
-83,-79,-82,-60,-76,-66,-58,-82,-90,-55
-87,-84,-77,-61,-79,-68,-59,-85,-89,-54
-84,-88,-89,-64,-75,-68,-62,-89,-90,-51
-85,-87,-85,-60,-79,-63,-60,-84,-86,-52
-81,-88,-82,-66,-78,-66,-67,-84,-81,-55
-86,-83,-82,-59,-79,-63,-57,-82,-88,-54
-79,-89,-85,-68,-76,-67,-70,-84,-79,-55
-81,-91,-82,-68,-77,-65,-64,-86,-82,-53
-77,-90,-83,-68,-76,-63,-64,-82,-77,-55
-83,-94,-86,-64,-81,-63,-67,-85,-82,-50
-81,-98,-87,-67,-79,-62,-68,-89,-81,-49
-85,-84,-80,-62,-80,-63,-59,-81,-83,-57
-83,-84,-85,-63,-76,-65,-61,-84,-86,-55
-79,-97,-89,-67,-78,-60,-65,-87,-79,-48
-88,-85,-79,-61,-81,-65,-58,-83,-84,-53
-84,-83,-79,-62,-77,-68,-59,-83,-86,-54
-76,-93,-85,-68,-73,-67,-67,-85,-82,-53
-81,-88,-84,-67,-77,-67,-65,-83,-79,-54
-85,-89,-82,-67,-75,-72,-63,-89,-88,-52
-78,-99,-91,-67,-76,-61,-64,-88,-83,-47
-83,-82,-84,-61,-77,-63,-57,-83,-88,-53
-85,-84,-78,-66,-79,-68,-63,-82,-80,-58
-82,-94,-85,-64,-81,-63,-70,-86,-82,-52
-91,-85,-84,-58,-82,-62,-53,-84,-88,-48
-88,-88,-83,-65,-78,-70,-61,-88,-87,-49
-88,-90,-82,-65,-80,-69,-63,-91,-87,-50
-80,-88,-81,-66,-76,-64,-63,-83,-79,-54
-85,-89,-83,-66,-80,-66,-63,-84,-80,-52
-89,-83,-82,-59,-82,-61,-56,-81,-84,-53
-82,-93,-81,-71,-75,-68,-62,-89,-83,-53
-84,-83,-75,-66,-78,-67,-61,-82,-81,-58
-84,-84,-76,-68,-75,-72,-62,-88,-86,-57
-83,-91,-85,-66,-77,-67,-63,-85,-82,-51
-81,-85,-77,-67,-77,-67,-66,-82,-79,-59
-87,-90,-89,-61,-81,-62,-62,-86,-85,-50
-79,-84,-78,-67,-74,-69,-65,-84,-83,-57
-80,-93,-87,-66,-77,-66,-68,-86,-82,-50
-86,-96,-84,-70,-79,-67,-64,-92,-83,-49
-79,-95,-84,-70,-74,-66,-62,-89,-81,-51
-82,-85,-78,-66,-78,-66,-63,-81,-79,-58
-83,-84,-77,-68,-74,-71,-60,-88,-87,-55
-83,-81,-81,-61,-76,-67,-60,-82,-88,-54
-84,-86,-79,-65,-80,-66,-64,-83,-81,-56
-79,-90,-84,-68,-74,-67,-63,-87,-85,-53
-86,-90,-86,-61,-84,-59,-63,-82,-79,-51
-86,-84,-78,-63,-78,-65,-57,-84,-84,-54
-79,-87,-84,-67,-75,-66,-63,-84,-84,-54
-85,-83,-74,-68,-76,-72,-63,-87,-86,-58
-85,-81,-84,-61,-78,-64,-59,-83,-87,-54
-85,-85,-78,-68,-75,-73,-63,-89,-88,-54
-79,-84,-83,-64,-74,-66,-61,-83,-86,-55
-81,-90,-84,-64,-80,-62,-68,-82,-79,-53
-87,-84,-83,-62,-79,-66,-59,-84,-86,-52
-84,-87,-79,-66,-78,-68,-66,-87,-84,-55
-82,-87,-83,-65,-76,-65,-60,-84,-83,-54
-78,-97,-87,-67,-77,-63,-66,-87,-82,-49
-81,-85,-77,-68,-74,-71,-63,-86,-84,-57
-80,-90,-87,-62,-78,-62,-64,-83,-84,-52
-81,-94,-84,-69,-76,-65,-66,-88,-80,-52
-83,-100,-88,-66,-81,-62,-69,-90,-82,-48
-84,-86,-80,-63,-80,-64,-63,-82,-81,-55
-87,-91,-82,-70,-77,-71,-62,-91,-84,-51
-85,-85,-78,-65,-76,-71,-60,-88,-89,-53
-79,-88,-84,-68,-74,-67,-64,-84,-81,-54
-84,-87,-83,-67,-75,-66,-58,-89,-87,-53
-81,-85,-81,-67,-75,-66,-60,-84,-82,-54
-79,-90,-84,-67,-75,-66,-64,-86,-84,-53
-90,-81,-85,-55,-81,-61,-53,-84,-93,-51
-83,-84,-85,-61,-80,-61,-63,-82,-83,-54
-80,-88,-82,-69,-74,-67,-63,-85,-80,-55
-78,-91,-86,-65,-77,-63,-67,-82,-81,-53
-80,-86,-83,-64,-76,-66,-65,-82,-83,-55
-83,-87,-81,-66,-76,-69,-62,-86,-85,-53
-90,-88,-81,-62,-83,-63,-59,-84,-81,-51
-76,-88,-84,-67,-75,-66,-68,-82,-80,-55
-81,-85,-83,-67,-75,-67,-64,-83,-81,-55
-84,-84,-79,-63,-75,-69,-58,-87,-89,-53
-87,-83,-86,-60,-80,-63,-57,-84,-88,-51
-84,-83,-79,-66,-76,-71,-62,-85,-85,-54
-88,-89,-87,-61,-80,-65,-59,-86,-87,-49
-81,-91,-84,-65,-79,-64,-66,-85,-83,-54
-85,-90,-82,-69,-79,-69,-67,-88,-81,-53
-85,-85,-77,-68,-76,-69,-59,-88,-85,-55
-86,-90,-82,-68,-78,-70,-64,-89,-84,-52
-91,-90,-80,-63,-81,-66,-56,-88,-87,-50
-85,-83,-83,-59,-78,-65,-58,-83,-89,-54
-83,-91,-86,-65,-78,-63,-60,-88,-86,-49
-81,-86,-83,-63,-79,-62,-64,-80,-81,-56
-84,-85,-83,-64,-77,-67,-62,-83,-84,-54
-82,-88,-87,-63,-78,-65,-63,-85,-87,-50
-81,-88,-80,-70,-74,-70,-65,-87,-82,-56
-82,-82,-77,-66,-75,-72,-63,-85,-88,-58
-88,-82,-85,-56,-81,-60,-56,-83,-90,-52
-85,-89,-84,-64,-78,-69,-64,-87,-86,-50
-85,-90,-84,-66,-81,-64,-67,-84,-78,-53
-81,-91,-82,-68,-76,-67,-64,-85,-81,-54
-86,-85,-75,-69,-77,-73,-63,-88,-86,-57
-87,-93,-91,-63,-79,-65,-60,-88,-88,-46
-91,-83,-86,-56,-83,-59,-54,-83,-89,-50
-84,-83,-86,-58,-78,-62,-56,-83,-92,-52
-86,-82,-81,-59,-78,-66,-57,-84,-91,-53
-83,-86,-79,-65,-78,-68,-63,-84,-85,-56
-77,-85,-80,-65,-76,-66,-67,-80,-80,-58
-80,-98,-88,-69,-76,-65,-65,-89,-82,-48
-79,-90,-83,-66,-79,-60,-65,-81,-75,-54
-85,-84,-80,-65,-77,-71,-62,-87,-88,-53
-84,-82,-81,-62,-79,-62,-58,-80,-82,-56
-81,-88,-82,-66,-77,-68,-65,-83,-82,-55
-84,-87,-79,-67,-79,-66,-65,-83,-78,-57
-80,-86,-86,-62,-79,-61,-64,-81,-83,-54
-85,-84,-79,-63,-81,-64,-61,-81,-79,-56
-83,-86,-79,-67,-75,-70,-62,-88,-88,-55
-76,-91,-83,-66,-75,-67,-68,-82,-83,-55
-84,-84,-84,-63,-78,-65,-63,-83,-84,-52
-84,-81,-77,-65,-77,-69,-63,-83,-84,-58
-80,-82,-79,-66,-76,-68,-66,-82,-82,-58
-83,-84,-86,-59,-78,-62,-57,-83,-90,-53
-84,-87,-77,-70,-76,-72,-64,-88,-83,-57
-82,-82,-78,-67,-74,-72,-64,-85,-85,-57
-89,-85,-84,-59,-79,-63,-55,-87,-91,-52
-95,-86,-87,-53,-85,-59,-48,-86,-93,-45
-82,-88,-85,-66,-75,-65,-58,-88,-88,-51
-82,-84,-86,-61,-78,-61,-59,-82,-87,-54
-81,-93,-91,-63,-78,-60,-66,-86,-83,-50
-88,-84,-81,-58,-81,-61,-55,-81,-85,-53
-83,-94,-84,-67,-80,-64,-67,-87,-81,-52
-78,-92,-84,-67,-77,-64,-67,-85,-80,-53
-82,-89,-82,-65,-78,-65,-66,-85,-82,-53
-84,-87,-83,-63,-80,-64,-62,-82,-81,-53
-87,-87,-80,-64,-79,-68,-62,-87,-86,-52
-80,-87,-80,-67,-76,-68,-65,-84,-83,-55
-82,-87,-85,-60,-79,-61,-60,-82,-85,-52
-82,-85,-83,-64,-77,-63,-59,-83,-83,-55
-84,-82,-87,-58,-78,-62,-58,-83,-91,-53
-85,-88,-81,-68,-75,-70,-61,-90,-88,-54
-82,-89,-84,-63,-81,-62,-66,-82,-80,-54
-84,-85,-83,-63,-76,-69,-61,-86,-89,-52
-85,-95,-90,-62,-81,-62,-63,-86,-84,-48
-80,-95,-91,-63,-81,-60,-70,-84,-79,-49
-81,-95,-87,-67,-78,-65,-68,-87,-81,-50
-79,-87,-80,-68,-76,-65,-64,-83,-78,-56
-80,-88,-84,-66,-80,-62,-67,-80,-75,-55
-80,-85,-82,-65,-76,-68,-65,-82,-83,-55
